item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
AAUDLOUDCOMBI,LOUDSPEAKER amplified wih tape-deck & wireless hand micro,42,64,37,99.456,14.9,
AAUDLOUDLSM,LOUDSPEAKER Anchor AN-130 (Mini speaker),0,0,0,0,0,
AFODBEAN01,"BEANS, french, extra thin, tin, per kg",0,0,0,0,0,
AFODBISC01,"BISCUITS, pack",0,0,0,0,0,
AFODCARO01,"CAROTS, tin, per kg",0,0,0,0,0,
AFODCHEE01,"CHEESE, long preservation, per kg",0,0,0,0,0,
AFODCHOC01,"CHOCOLATE, per 100g",0,0,0,0,0,
AFODCHOC02,"CHOCOLATE PASTE, 350g",0,0,0,0,0,
AFODCOFF01,"COFFEE, soluble, instant, one tin",0,0,0,0,0,
AFODCOFF02,"COFFEE, 100% arabica, powder, per kg",0,0,0,0,0,
AFODFBARMUES,"FOOD BAR, Muesli",0,0,0,0,0,
AFODFRUI01,"FRUITS, DRY, apricots, per kg",0,0,0,0,0,
AFODFRUI02,"FRUITS, DRY, prunes, per kg",0,0,0,0,0,
AFODJAMF01,"JAM, FRUIT, tin, per kg",0,0,0,0,0,
AFODJUIC01,"JUICE, FRUIT, powder for 1L, sachet",0,0,0,0,0,
AFODMARG01,"MARGARINE, long preservation, tin, per 100g",0,0,0,0,0,
AFODMEAL001,Matelote de thon 285 grammes,0,0,0,0,0,
AFODMEAL002,Merlu pates sauce oseille 300g,0,0,0,0,0,
AFODMEAL003,Saute de lapin 285 grammes,0,0,0,0,0,
AFODMEAL004,Navarin de mouton 285 grammes,0,0,0,0,0,
AFODMEAL005,Filet de julienne sauce provencale 285 g,0,0,0,0,0,
AFODMEAL006,Filet de truite a l aneth et pommes de terre 285 g,0,0,0,0,0,
AFODMEAL007,Supreme de volaille 285 g,0,0,0,0,0,
AFODMEAL008,Dinde au curry 300g,0,0,0,0,0,
AFODMEAL009,"MEAL, VEGETABLE LASAGNES, 300g",0,0,0,0,0,
AFODMEAT01,"MEAT, tin, per kg",0,0,0,0,0,
AFODMREA0101,"FOOD RATION, MRS, individual",0,0,0,0,0,yes
AFODMUSH01,"MUSHROOMS, tin, per 100g",0,0,0,0,0,
AFODMWAT1.5,"MINERAL WATER, 1.5L bottle",0,0,0,0,0,
AFODNOOD01,"NOODLES, per kg",0,0,0,0,0,
AFODNOOD02,"NOODLES, freeze dried, ready to eat, individual",0,0,0,0,0,
AFODPEAS01,"PEAS, green, extra thin, tin, per kg",0,0,0,0,0,
AFODPEPP01,"PEPPER, ground, per 100g",0,0,0,0,0,
AFODRICE01,"RICE, white, per kg",0,0,0,0,0,
AFODSALT01,"SALT, powder, per 100g",0,0,0,0,0,
AFODSARD01,"SARDINES, tin",0,0,0,0,0,
AFODSOUP01,"SOUP, freeze dried, 1 person/sachet",0,0,0,0,0,
AFODSUGA01,"SUGAR, powder, per kg",0,0,0,0,0,
AFODSWEEMIX1,"SWEETS, CANDY, mix 180g",0,0,0,0,0,
AFODTEAB01,"TEA, 50 bags, box",0,0,0,0,0,
AFODTOMA01,"TOMATO, SAUCE, with meat, tin, per kg",0,0,0,0,0,
AFODTOMA02,"TOMATO, SAUCE, concentrate, tin, per 100g",0,0,0,0,0,
AFODVOILCOOK,"VEGETABLE OIL, Cooking, 1L",0,0,0,0,0,
AFORAIRWIATA,"AIRWAYBILLS, official IAATA form",0,0,0,0,0,
AFORARRISH50,ARRIVAL REGISTER FOR SHIPMENTS (50 sheets),29.6,60,21,37.296,0.3,
AFORBINCA4IC,"BIN CARD, A4, ICRC, recto, light cardboard, white",30,9,21,5.67,4.6,
AFORBINCA5IC,"BIN CARD, A5, ICRC, recto, light cardboard, white",21,8.8,14.7,2.7166,2.22,
AFORBINCA5ICH,"BIN CARD Holder A5, Frame, PMMA 2mm, for medical warehouse",45,32,34,48.96,7.8,
AFORBINCIF,"BIN CARD, A4, IFRC, recto, light cardboard, white",0,0,0,0,0,
AFORBINCIFA5,"BIN CARD, A5, IFRC, recto/verso, light cardboard, yellow",0,0,0,0,0,
AFORCARGIC04,"CARGO MANIFEST ICRC form, 4 ncr",0,0,0,0,0,
AFORCLAI01,"CLAIM REPORT, for shipping/quality control/losses",29.7,0.1,21,0.0624,0.0126,
AFORDICABE,"DISTRIBUTION CARD, for food, individual, numbered, beige",10,4,7,0.28,0.004,
AFORDICABL,"DISTRIBUTION CARD, for food, individual, numbered, blue",10,1.5,7,0.105,0.3,
