"Warehouse","Category","Item description","Catalog","Tracking number (CTN)","Remark","Outbound","UM","Currency","Price","Stock"
"Central Warehouse","Food","Perishable Food","Other Items","FO-12000",,,"lbs","USD",,7500
"Central Warehouse","Food","Canned/Dried Food","Other Items","FO-12001",,,"lbs","USD",,50000
"Central Warehouse","FUEL","Gasoline","Other Items","FU-12000",,,"gal","USD",,5000
"Central Warehouse","Health","Bandages","Other Items","HE-12000",,,"ea","USD",,25000
"Central Warehouse","Food","Infant Formula","Other Items","FO-12006",,,"lbs","USD",,6500
"Central Warehouse","CLOTHING","Childrens Clothing","Other Items",,,,"ea","USD",,12000
"Central Warehouse","CLOTHING","Mens Clothing","Other Items",,,,"ea","USD",,6000
"Central Warehouse","CLOTHING","Womens Clothing","Other Items",,,,"ea","USD",,5000
"EMD Main Warehouse","Food","Potable Water","Other Items","FO-12002",,,"gal","USD",,20000
"EMD Main Warehouse","Food","Canned/Dried Food","Other Items","FO-12003",,,"lbs","USD",,75000
"EMD Main Warehouse","Food","Infant Formula","Other Items","FO-12004",,,"lbs","USD",,8000
"EMD Main Warehouse","FUEL","Gasoline","Other Items","FU-12001",,,"gal","USD",,9000
"EMD Main Warehouse","Health","Body Bags","Other Items",,,,"ea","USD",,5000
"EMD Main Warehouse","SUPPLIES","ID Badges","Other Items",,,,"ea","USD",,12000
"EMD Main Warehouse","WASH","Diapers","Other Items",,,,"dz","USD",,2000
"EMD Main Warehouse","WASH","Non-Potable Water","Other Items",,,,"gal","USD",,80000
"EMD Main Warehouse","Food","Water Cooler","Other Items","FO-12005",,,"ea","USD",,500
"EMD Main Warehouse","Health","Water Purification System","Other Items",,,,"ea","USD",,2000
"EMD Main Warehouse","Shelter","Tent","Other Items",,,,"ea","USD",,5000
"EMD Main Warehouse","Health","Stretcher","Other Items",,,,"ea","USD",,150
"EMD Main Warehouse","SUPPLIES","Radio","Other Items",,,,"ea","USD",,50
"EMD Main Warehouse","SUPPLIES","Bolt Cutters","Other Items",,,,"ea","USD",,75
