"Name","Organisation","Type","Country","Building","Address","Postcode","L1","L2","L3","Lat","Lon","Phone1","Phone2","Email","Fax","Comments"
"NEOC Office","Timor-Leste Government","Headquarters","Timor-Leste","Government Building","777-939 Ac Rd.",,"Dili",,"Gricenfor",-8.553,125.58,"1 18 424 4777-0537","1 28 529 2862-7844",,"1 61 886 3539-5933",
"Melbourne Office","Australian Red Cross","Headquarters","Australia",,"P.O. Box 154, 258 Imperdiet Road",,"ACT",,"Canberra",-35.28,149.13,"1 29 246 4276-0384","1 49 440 6664-9883",,"1 64 610 1386-3157",
"Timor-Leste Red Cross Society (CVTL) NationalHeadquarters","Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)","Headquarters","Timor-Leste","Rumbia","Rua Cristo Rei, Bidau Santa Ana, Dili, Timor-Leste",,"Dili","Vera Cruz","Caicoli",-8.554,125.57,"1 53 838 2543-0848","1 89 635 1668-4601",,"1 99 827 1723-8087",
"New York Office","American Red Cross","Regional","United States",,"129 Lorem Avenue",,"New York",,"Manhattan",40.78,-73.98,"1 93 923 5256-1559","1 55 969 9936-1986",,"1 61 684 1097-2532",
"SSF Head Office","Sahana Software Foundation","Headquarters","United States","SSF Building","900 Wilshire Blvd, Suite 1500",90017,"California",,"Los Angeles",33.78,-118.11,"1 17 352 4257-4640","1 91 883 3967-7432",,"1 65 507 8336-8009",
"Kalmar Office","Sahana Eden","Field","Sweden","Dominic Building","Ap #951-1398 Vitae Rd.",,"Kalmar County",,"Kalmar",56.66,16.3625,"1 68 773 2947-0320","1 43 871 8209-0604",,"1 58 926 9248-1574",
"Wellington Office","Sahana Eden","Field","New Zealand","Michael Building","P.O. Box 477, 7709 Dictum Av",,"Wellington",,"Hataitai",-41.34,174.8,"1 14 270 9072-3710","1 93 993 6132-0340",,"1 58 926 9248-1574",
"Bicester Office","Sahana Eden","Field","United Kingdom","Fran Building","P.O. Box 801, 3935 Sit St.",,"Oxon",,"Bicester",51.9,-1.52,"1 56 242 6416-4291","1 40 481 8727-8537",,"1 58 926 9248-1574",
"Agasti Office","Sahana Agasti","Field","United States","Vesuvius Building","598-8903 Non Ave",,"New York",,"Brooklyn",40.63,-73.95,"1 79 732 2677-9197","1 93 483 3307-0558",,"1 21 254 4211-1309",
"Ainaro PEOC Office","Timor-Leste Government","Field","TL","Maulore","Maulore",,"Ainaro","Ainaro","Ainaro",-8.99508,125.49941,,,,,
"Lospalos PEOC Office","Timor-Leste Government","Field","TL","Lospalos","Lospalos",,"Lautem","Lospalos","Fuiloro",-8.51994,126.99433,,,,,
"Manatuto PEOC Office","Timor-Leste Government","Field","TL","Lahuoae","Lahuoae",,"Manatuto","Manatuto","Sau",-8.52083,126.00694,,,,,
"Same PEOC Office","Timor-Leste Government","Field","TL","Same","Same",,"Manufahi","Same","Letefoho",-9.00362,125.64777,,,,,
"Viqueque PEOC Office","Timor-Leste Government","Field","TL","Cabirooan","Cabirooan",,"Viqueque","Viqueque","Caraubalo",-8.86904,126.36631,,,,,
