Country,L1,L2,Demographic,Date,Value,Source,Source URL
GN,,,"Population, 0-4 years - Female",2009,841512,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 0-4 years - Male",2009,866996,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 0-4 years - Total",2009,1708508,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 10-14 years - Female",2009,574099,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 10-14 years - Male",2009,581127,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 10-14 years - Total",2009,1155226,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 15-19 years - Female",2009,604330,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 15-19 years - Male",2009,621661,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 15-19 years - Total",2009,1225991,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 20-24 years - Female",2009,479384,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 20-24 years - Male",2009,517007,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 20-24 years - Total",2009,996391,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 25-29 years - Female",2009,323194,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 25-29 years - Male",2009,344997,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 25-29 years - Total",2009,668191,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 30-34 years - Female",2009,305081,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 30-34 years - Male",2009,260720,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 30-34 years - Total",2009,565801,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 35-39 years - Female",2009,277817,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 35-39 years - Male",2009,216535,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 35-39 years - Total",2009,494352,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 40-44 years - Female",2009,273805,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 40-44 years - Male",2009,204559,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 40-44 years - Total",2009,478364,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 45-49 years - Female",2009,202762,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 45-49 years - Male",2009,163816,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 45-49 years - Total",2009,366578,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 5-9 years - Female",2009,669042,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 5-9 years - Male",2009,686211,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 5-9 years - Total",2009,1355253,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 50-54 years - Female",2009,167118,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 50-54 years - Male",2009,147915,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 50-54 years - Total",2009,315033,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 55-59 years - Female",2009,122576,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 55-59 years - Male",2009,118129,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 55-59 years - Total",2009,240705,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 60-64 years - Female",2009,94724,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 60-64 years - Male",2009,87782,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 60-64 years - Total",2009,182506,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 65-69 years - Female",2009,72237,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 65-69 years - Male",2009,66929,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 65-69 years - Total",2009,139166,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 70-74 years - Female",2009,56714,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 70-74 years - Male",2009,54579,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 70-74 years - Total",2009,111293,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 75 years and over - Female",2009,114373,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 75 years and over - Male",2009,99860,Open Data for Africa,opendataforafrica.org
GN,,,"Population, 75 years and over - Total",2009,214233,Open Data for Africa,opendataforafrica.org
GN,,,Distribution of population - Female,2009,5547448,Open Data for Africa,opendataforafrica.org
GN,,,Distribution of population - Male,2009,5418827,Open Data for Africa,opendataforafrica.org
GN,,,Distribution of population - Total,2009,10217591,Open Data for Africa,opendataforafrica.org
GN,,,Which: 0 year - Female,2009,192649,Open Data for Africa,opendataforafrica.org
GN,,,Which: 0 year - Male,2009,198295,Open Data for Africa,opendataforafrica.org
GN,,,Which: 0 year - Total,2009,390944,Open Data for Africa,opendataforafrica.org
GN,,,Which: 1 year - Female,2009,176031,Open Data for Africa,opendataforafrica.org
GN,,,Which: 1 year - Male,2009,181709,Open Data for Africa,opendataforafrica.org
GN,,,Which: 1 year - Total,2009,357740,Open Data for Africa,opendataforafrica.org
GN,Labé,Koubia,"Population, Female Total",1996,49916,Open Data for Africa,opendataforafrica.org
GN,Labé,Koubia,"Population, Male Total",1996,41966,Open Data for Africa,opendataforafrica.org
GN,Labé,Koubia,Number of households,1996,14974,Open Data for Africa,opendataforafrica.org
GN,Labé,Koubia,Population Total,1996,91882,Open Data for Africa,opendataforafrica.org
GN,Labé,Koubia,Population density (hbts/km2) - Total,2009,29.3,Open Data for Africa,opendataforafrica.org
