Country,L1
IN,Andaman and Nicobar
IN,Andhra Pradesh
IN,Arunachal Pradesh
IN,Assam
IN,Bihar
IN,Chandigarh
IN,Chhattisgarh
IN,Dadra and Nagar Haveli
IN,Daman and Diu
IN,Delhi
IN,Goa
IN,Gujarat
IN,Haryana
IN,Himachal Pradesh
IN,Jammu and Kashmir
IN,Jharkhand
IN,Karnataka
IN,Kerala
IN,Lakshadweep
IN,Madhya Pradesh
IN,Maharashtra
IN,Manipur
IN,Meghalaya
IN,Mizoram
IN,Nagaland
IN,Odisha
IN,Puducherry
IN,Punjab
IN,Rajasthan
IN,Sikkim
IN,Tamil Nadu
IN,Tripura
IN,Uttar Pradesh
IN,Uttaranchal
IN,West Bengal
