Country,L1,L2,L2 KV:PCode,L2 L10n:ru,L2 KV:Name (latin),L2 KV:Place Type (ru),L2 KV:Place Type
KG,Chui,Tokmok,41708 400 000 01 0,,,oblastcity,province city
KG,Naryn,Naryn City,41704 400 000 01 0,,Naryn,oblastcity,province city
KG,Issyk-Kul,Ak-Suu,41702 205 000 00 0,Ак-Суйский Район,Ak-Suiskii Raion,rayon,region/district
KG,Issyk-Kul,Jeti-Oguz,41702 210 000 00 0,Жети-Огузский Район,Jeti-Oguzskii Raion,rayon,region/district
KG,Issyk-Kul,Issyk-Kul,41702 215 000 00 0,Иссык-Кульский Район,Issyk-Kul–Skii Raion,rayon,region/district
KG,Issyk-Kul,Ton,41702 220 000 00 0,Тонский Район,Tonskii Raion,rayon,region/district
KG,Issyk-Kul,Tup,41702 225 000 00 0,Тюпский Район,Tyupskii Raion,rayon,region/district
KG,Jalal-Abad,Ala-Buka,41703 204 000 00 0,Ала-Букинский Район,Ala-Bukinskii Raion,rayon,region/district
KG,Jalal-Abad,Bazar-Korgon,41703 207 000 00 0,Базар-Коргонский Район,Bazar-Korgonskii Raion,rayon,region/district
KG,Jalal-Abad,Aksy,41703 211 000 00 0,Аксыйский Район,Aksyiskii Raion,rayon,region/district
KG,Jalal-Abad,Nooken,41703 215 000 00 0,Ноокенский Район,Nookenskii Raion,rayon,region/district
KG,Jalal-Abad,Suzak,41703 220 000 00 0,Сузакский Район,Suzakskii Raion,rayon,region/district
KG,Jalal-Abad,Toguz-Toro,41703 223 000 00 0,Тогуз-Тороуский Район,Toguz-Torouskii Raion,rayon,region/district
KG,Jalal-Abad,Toktogul,41703 225 000 00 0,Токтогульский Район,Toktogul–Skii Raion,rayon,region/district
KG,Jalal-Abad,Chaktal,41703 230 000 00 0,Чаткальский Район,Chatkal–Skii Raion,rayon,region/district
KG,Naryn,Ak-Tala,41704 210 000 00 0,Ак-Талинский Район,Ak-Talinskii Raion,rayon,region/district
KG,Naryn,Ak-Bashy,41704 220 000 00 0,Ат-Башынский Район,At-Bashynskii Raion,rayon,region/district
KG,Naryn,Jumgal,41704 230 000 00 0,Жумгальский Район,Jumgal–Skii Raion,rayon,region/district
KG,Naryn,Kochokor,41704 235 000 00 0,Кочкорский Район,Kochkorskii Raion,rayon,region/district
KG,Naryn,Naryn Region,41704 245 000 00 0,Нарынский Район,Narynskii Raion,rayon,region/district
KG,Batken,Batken Region,41705 214 000 00 0,Баткенский Район,Batkenskii Raion,rayon,region/district
KG,Batken,Leilek,41705 236 000 00 0,Лейлекский Район,Leilekskii Raion,rayon,region/district
KG,Batken,Kadamjai,41705 258 000 00 0,Кадамжайский Район,Kadamjaiskii Raion,rayon,region/district
KG,41706 000 000 00 0,Alai,41706 207 000 00 0,Алайский Район,Alaiskii Raion,rayon,region/district
KG,41706 000 000 00 0,Aravan,41706 211 000 00 0,Араванский Район,Aravanskii Raion,rayon,region/district
KG,41706 000 000 00 0,Kara-suu,41706 226 000 00 0,Кара-Сууский Район,Kara-Suuskii Raion,rayon,region/district
KG,41706 000 000 00 0,Nookat,41706 242 000 00 0,Ноокатский Район,Nookatskii Raion,rayon,region/district
KG,41706 000 000 00 0,Kara-Kulja,41706 246 000 00 0,Кара-Кулжинский Район,Kara-Kuljinskii Raion,rayon,region/district
KG,41706 000 000 00 0,Uzgen,41706 255 000 00 0,Узгенский Район,Uzgenskii Raion,rayon,region/district
KG,41706 000 000 00 0,Chon-Alai,41706 259 000 00 0,Чон-Алайский Район,Chon-Alaiskii Raion,rayon,region/district
KG,Talas,Kara-Buura,41707 215 000 00 0,Кара-Бууринский Район,Kara-Buurinskii Raion,rayon,region/district
KG,Talas,Bakai-Ata,41707 220 000 00 0,Бакай-Атинский Район,Bakai-Atinskii Raion,rayon,region/district
KG,Talas,Manas,41707 225 000 00 0,Манасский Район,Manasskii Raion,rayon,region/district
KG,Talas,Talas Region,41707 232 000 00 0,Таласский Район,Talasskii Raion,rayon,region/district
KG,Chui,Alamudun,41708 203 000 00 0,Аламудунский Район,Alamudunskii Raion,rayon,region/district
KG,Chui,Ysyk-Ata,41708 206 000 00 0,Ысык-Атинский Район,Ysyk-Atinskii Raion,rayon,region/district
KG,Chui,Jaiyl,41708 209 000 00 0,Жайылский Район,Jaiylskii Raion,rayon,region/district
KG,Chui,Kemin,41708 213 000 00 0,Кеминский Район,Keminskii Raion,rayon,region/district
KG,Chui,Moscow,41708 217 000 00 0,Московский Район,Moskovskii Raion,rayon,region/district
KG,Chui,Panfilov,41708 219 000 00 0,Панфиловский Район,Panfilovskii Raion,rayon,region/district
KG,Chui,Sokuluk,41708 222 000 00 0,Сокулукский Район,Sokulukskii Raion,rayon,region/district
KG,Chui,Chui,41708 223 000 00 0,Чуйский Район,Chuiskii Raion,rayon,region/district
KG,Bishkek,Lenin,41711 201 000 00 0,Ленинский Район,Leninskii Raion,rayon,region/district
KG,Bishkek,Oktyabr,41711 202 000 00 0,Октябрьский Район,Oktyabr–Skii Raion,rayon,region/district
KG,Bishkek,Pervomai,41711 203 000 00 0,Первомайский Район,Pervomaiskii Raion,rayon,region/district
KG,Bishkek,Sverdlov,41711 204 000 00 0,Свердловский Район,Sverdlovskii Raion,rayon,region/district
KG,Issyk-Kul,Karakol,41702 410 000 01 0,Каракол,,oblastcity,province city
KG,Issyk-Kul,Balykchy,41702 420 000 01 0,Балыкчы,,oblastcity,province city
KG,Jalal-Abad,Jalal-Abad,41703 410 000 01 0,Джалал-Абад,,oblastcity,province city
KG,Jalal-Abad,Tash-Kumir,41703 420 000 01 0,Таш-Кумыр,Tash-Kumyr,oblastcity,province city
KG,Jalal-Abad,Mailuu-Suu,41703 430 000 01 0,Майлуу-Суу,,oblastcity,province city
KG,Jalal-Abad,Kara-Kul,41703 440 000 01 0,Кара-Куль,,oblastcity,province city
KG,Batken,Batken City,41705 410 000 01 0,Баткен,Batken,oblastcity,province city
KG,Batken,Sulukta,41705 420 000 01 0,Сулюкта,Sulyukta,oblastcity,province city
KG,Batken,Kyzyl-Kia,41705 430 000 01 0,Кызыл-Кия,Kyzyl-Kiya,oblastcity,province city
KG,Talas,Talas City,41707 400 000 01 0,,Talas,oblastcity,province city
