L0,L1,L2
MV,Thiladhunmathi Uthuruburi,Didhdhoo
MV,Thiladhunmathi Dhekunuburi,Kulhudhuffushi
MV,Miladhunmadulu Uthuruburi,Milandhoo
MV,Miladhunmadulu Dhekunuburi,Manadhoo
MV,Maalhosmadulu Uthuruburi,U'ngoofaaru
MV,Maalhosmadulu Dhekunuburi,Eydhafushi
MV,Faadhippolhu,Naifaru
MV,Malé Atholhu,Maafushi
MV,Ari Atholhu Uthuruburi,Rasdhoo
MV,Ari Atholhu Dhekunuburi,Mahibadhoo
MV,Felidhu Atholhu,Felidhoo
MV,Mulak Atholhu,Muli
MV,Nilandhe Atholhu Uthuruburi,Nilandhoo
MV,Nilandhe Atholhu Dhekunuburi,Kudahuvadhoo
MV,Kolhumadulu,Veymandoo
MV,Haddhunmathi,Fonadhoo
MV,Huvadhu Atholhu Uthuruburi,Villingili
MV,Huvadhu Atholhu Dhekunuburi,Thinadhoo
MV,Gnaviyani,Fuvahmulah
