"L0","L1","L1 KV:PSGC"
"Philippines","NCR [National Capital Region]",130000000
"Philippines","CAR [Cordillera Administrative Region]",140000000
"Philippines","REGION I [Ilocos Region]",10000000
"Philippines","REGION II [Cagayan Valley]",20000000
"Philippines","REGION III [Central Luzon]",30000000
"Philippines","REGION IV-A [Calabarzon]",40000000
"Philippines","REGION IV-B [Mimaropa]",170000000
"Philippines","REGION V [Bicol Region]",50000000
"Philippines","REGION VI [Western Visayas]",60000000
"Philippines","REGION VII [Central Visayas]",70000000
"Philippines","REGION VIII [Eastern Visayas]",80000000
"Philippines","REGION IX [Zamboanga Peninsula]",90000000
"Philippines","REGION X [Northern Mindanao]",100000000
"Philippines","REGION XI [Davao Region]",110000000
"Philippines","REGION XII [Soccsksargen]",120000000
"Philippines","REGION XIII [Caraga]",160000000
"Philippines","ARMM [Autonomous Region in Muslim Mindanao]",150000000
