"L1","L2","L2 KV:GADM3","Population"
"Aileu","Aileu Vila",201,17166
"Aileu","Laulara",204,5448
"Aileu","Liquidoe",802,5819
"Aileu","Remexio",203,9493
"Ainaro","Ainaro",101,12640
"Ainaro","Hatu-Builico",102,10807
"Ainaro","Hatu-Udo",104,8817
"Ainaro","Maubisse",103,20212
"Baucau","Baguia",304,8943
"Baucau","Baucau",301,37112
"Baucau","Laga",302,15133
"Baucau","Quelicai",303,15915
"Baucau","Vemase",305,8886
"Baucau","Venilale",306,14337
"Bobonaro","Atabae",404,9609
"Bobonaro","Balibo",403,13540
"Bobonaro","Bobonaro",406,22756
"Bobonaro","Cailaco",402,8374
"Bobonaro","Lolotoe",405,6992
"Bobonaro","Maliana",401,21763
"Covalima","Fatululic",501,1814
"Covalima","Fatumean",502,3346
"Covalima","Fohorem",503,4116
"Covalima","Maucatar",504,5876
"Covalima","Suai",505,21539
"Covalima","Tilomar",506,6135
"Covalima","Zumalai",507,9992
"Dili","Atauro",604,7863
"Dili","Cristo Rei",606,43909
"Dili","Dom Aleixo",605,71489
"Dili","Metinaro",603,3409
"Dili","Nain Feto",602,18693
"Dili","Vera Cruz",601,28178
"Ermera","Atsabe",704,16037
"Ermera","Ermera",702,27293
"Ermera","Hatolia",705,30659
"Ermera","Letefoho",703,19917
"Ermera","Railaco",701,9293
"Lautém","Iliomar",903,6726
"Lautém","Lautém",902,13866
"Lautém","Lospalos",901,25417
"Lautém","Luro",904,6205
"Lautém","Tutuala",905,3707
"Liquiçá","Bazartete",801,20190
"Liquiçá","Liquiçá",202,18304
"Liquiçá","Maubara",803,16340
"Manatuto","Barique/Natarbora",1105,4781
"Manatuto","Laclo",1103,7558
"Manatuto","Laclubar",1106,8034
"Manatuto","Laleia",1102,3205
"Manatuto","Manatuto",1101,10449
"Manatuto","Soibada",1104,2692
"Manufahi","Alas",1002,6485
"Manufahi","Fatuberliu",1003,6326
"Manufahi","Same",1001,26066
"Manufahi","Turiscai",1004,6073
"Oecusse","Nitibe",1202,11052
"Oecusse","Oesilo",1203,10220
"Oecusse","Pante Macasar",1201,29058
"Oecusse","Passabe",1204,7139
"Viqueque","Lacluta",1305,5187
"Viqueque","Ossu",1302,15610
"Viqueque","Uatucarbau",1301,6725
"Viqueque","Viqueque",1304,20640
"Viqueque","Watulari",1301,17083
