L1,L2,L3,L3 KV:GADM3,Population
Aileu,Aileu Vila,Aisirimou,20101,1262
Aileu,Aileu Vila,Bandudato,20102,1098
Aileu,Aileu Vila,Fahiria,20103,760
Aileu,Aileu Vila,Fatubosa,20104,2031
Aileu,Aileu Vila,Hoholau,20107,806
Aileu,Aileu Vila,Lahae,20105,512
Aileu,Aileu Vila,Lausi,20106,599
Aileu,Aileu Vila,Saboria,20110,699
Aileu,Aileu Vila,Seloi Craic,20109,2558
Aileu,Aileu Vila,Seloi Malere,20108,2460
Aileu,Aileu Vila,Suco Liurai,20111,4381
Aileu,Laulara,Cotolau,20401,555
Aileu,Laulara,Fatisi,20405,797
Aileu,Laulara,Madabeno,20403,1397
Aileu,Laulara,Talitu,20402,2097
Aileu,Laulara,Tohumeta,20404,602
Aileu,Liquidoe,Acubilitoho,20202,975
Aileu,Liquidoe,Bereleu,20205,685
Aileu,Liquidoe,Betulau,20203,375
Aileu,Liquidoe,Fahisoi,20206,1464
Aileu,Liquidoe,Faturilau,20204,668
Aileu,Liquidoe,Manucasa,20207,443
Aileu,Liquidoe,Namoleso,20201,1209
Aileu,Remexio,Acumau,20301,1775
Aileu,Remexio,Fadabloco,20305,927
Aileu,Remexio,Fahisoi,20308,1265
Aileu,Remexio,Faturasa,20304,1538
Aileu,Remexio,Hautoho,20307,1555
Aileu,Remexio,Maumeta,20306,362
Aileu,Remexio,Suco-Liurai,20303,294
Aileu,Remexio,Tulataqueo,20302,1777
Ainaro,Ainaro,Ainaro,10101,4741
Ainaro,Ainaro,Cassa,10105,450
Ainaro,Ainaro,Manutasi,10104,1972
Ainaro,Ainaro,Mau-Nuno,10107,2275
Ainaro,Ainaro,Mau-Ulo,10106,954
Ainaro,Ainaro,Soro,10103,1252
Ainaro,Ainaro,Suro-Craic,10102,996
Ainaro,Hatu-Builico,Mau-Chiga,10203,1978
Ainaro,Hatu-Builico,Mulo,10201,5791
Ainaro,Hatu-Builico,Nuno-Mogue,10202,3038
Ainaro,Hatu-Udo,Foho-ai-Lico,10402,3841
Ainaro,Hatu-Udo,Leolima,10401,4976
Ainaro,Maubisse,Aitutu,10304,5032
Ainaro,Maubisse,Edi,10305,2305
Ainaro,Maubisse,Fatu-Besi,10309,692
Ainaro,Maubisse,Horai-Quic,10307,1188
Ainaro,Maubisse,Manelobas,10302,920
Ainaro,Maubisse,Manetu,10303,2133
Ainaro,Maubisse,Maubisse,10301,4947
Ainaro,Maubisse,Maulau,10306,2453
Ainaro,Maubisse,Suco Liurai,10308,542
Baucau,Baguia,Afaloicai,30401,653
Baucau,Baguia,Alaua Craic,30402,1181
Baucau,Baguia,Alaua Leten,30403,1080
Baucau,Baguia,Defa Uassi,30408,815
Baucau,Baguia,Haeconi,30404,1148
Baucau,Baguia,Lari Sula,30406,758
Baucau,Baguia,Lavateri,30409,1211
Baucau,Baguia,Osso-Huna,30405,513
Baucau,Baguia,Samalari,30407,1475
Baucau,Baucau,Bahu,30101,3572
Baucau,Baucau,Bucoli,30102,2014
Baucau,Baucau,Buibau,30104,3493
Baucau,Baucau,Buruma,30103,10096
Baucau,Baucau,Caibada,30111,3609
Baucau,Baucau,Gariuai,30107,3425
Baucau,Baucau,Samalari,30106,1262
Baucau,Baucau,Seical,30110,1773
Baucau,Baucau,Triloca,30108,2052
Baucau,Baucau,Trilolo,30109,1850
Baucau,Baucau,Wailili,30105,3966
Baucau,Laga,Atelari,30201,1945
Baucau,Laga,Libagua,30207,1377
Baucau,Laga,Nunira,30206,1575
Baucau,Laga,Saelari,30208,1229
Baucau,Laga,Sagadati,30205,2508
Baucau,Laga,Samalari,30204,1365
Baucau,Laga,Soba,30203,1459
Baucau,Laga,Tequino Mata,30202,3675
Baucau,Quelicai,Abafala,30315,124
Baucau,Quelicai,Abo,30308,570
Baucau,Quelicai,Afaca,30310,1302
Baucau,Quelicai,Baguia,30301,670
Baucau,Quelicai,Bualale,30306,671
Baucau,Quelicai,Guruca,30309,1626
Baucau,Quelicai,Laisorolai de Baixo,30312,1171
Baucau,Quelicai,Laisorolai de Cima,30311,1982
Baucau,Quelicai,Lelalai,30307,1390
Baucau,Quelicai,Letemuno,30303,2141
Baucau,Quelicai,Locoliu,30302,1518
Baucau,Quelicai,Macalaco,30305,1111
Baucau,Quelicai,Namanei,30314,691
Baucau,Quelicai,Waitame,30304,866
Baucau,Vemase,Loilubo,30504,1335
Baucau,Vemase,Ossoala,30503,763
Baucau,Vemase,Ostico,30502,1240
Baucau,Vemase,Uatu-Lari,30506,654
Baucau,Vemase,Vemase,30501,4506
Baucau,Venilale,Bado Ho'o,30601,1606
Baucau,Venilale,Baha Mori,30602,2325
Baucau,Venilale,Fatulia,30607,2101
Baucau,Venilale,Uailaha,30603,1767
Baucau,Venilale,Uaiolo,30604,1344
Baucau,Venilale,Uataco,30608,2561
Baucau,Venilale,Uma Ana Ico,30605,431
Baucau,Venilale,Uma Ana Ulu,30606,2202
Bobonaro,Atabae,Aidabaleten,40401,5165
Bobonaro,Atabae,Atabae,40402,1479
Bobonaro,Atabae,Hataz,40404,1823
Bobonaro,Atabae,Rairobo,40403,1142
Bobonaro,Balibo,Balibo Vila,40301,3571
Bobonaro,Balibo,Batugade,40306,1841
Bobonaro,Balibo,Cowa,40303,1940
Bobonaro,Balibo,Leohito,40302,2741
Bobonaro,Balibo,Leolima,40304,1666
Bobonaro,Balibo,Sanirin,40305,1781
Bobonaro,Bobonaro,Ai-Assa,40601,1569
Bobonaro,Bobonaro,Atu-Aben,40602,754
Bobonaro,Bobonaro,Bobonaro,40603,1746
Bobonaro,Bobonaro,Carabau,40604,2640
Bobonaro,Bobonaro,Colimau,40605,1320
Bobonaro,Bobonaro,Cotabot,40606,309
Bobonaro,Bobonaro,Ilat-Laun,40618,983
Bobonaro,Bobonaro,Leber,40609,1024
Bobonaro,Bobonaro,Lour,40608,1275
Bobonaro,Bobonaro,Lourba,40607,1679
Bobonaro,Bobonaro,Male-Ubu,40612,1782
Bobonaro,Bobonaro,Malilait,40610,1159
Bobonaro,Bobonaro,Molop,40611,1681
Bobonaro,Bobonaro,Oe-Leu,40613,1036
Bobonaro,Bobonaro,Sibuni,40615,1012
Bobonaro,Bobonaro,Soilesu,40614,1203
Bobonaro,Bobonaro,Tapo,40616,612
Bobonaro,Bobonaro,Tebabui,40617,972
Bobonaro,Cailaco,Atudara,40204,1198
Bobonaro,Cailaco,Dau Udo,40206,354
Bobonaro,Cailaco,Goulolo,40202,646
Bobonaro,Cailaco,Guenu Lai,40207,317
Bobonaro,Cailaco,Manapa,40208,895
Bobonaro,Cailaco,Meligo,40203,2174
Bobonaro,Cailaco,Purugoa,40205,2031
Bobonaro,Cailaco,Raiheu,40201,759
Bobonaro,Lolotoe,Deudet,40504,1291
Bobonaro,Lolotoe,Gildapil,40507,1193
Bobonaro,Lolotoe,Guda,40503,752
Bobonaro,Lolotoe,Lebos,40505,1003
Bobonaro,Lolotoe,Lontas,40506,556
Bobonaro,Lolotoe,Lupal,40502,1194
Bobonaro,Lolotoe,Opa,40501,1003
Bobonaro,Maliana,Holsa,40105,4866
Bobonaro,Maliana,Lahomea,40101,2330
Bobonaro,Maliana,Odomau,40104,2827
Bobonaro,Maliana,Raifun,40102,1688
Bobonaro,Maliana,Ritabou,40103,4855
Bobonaro,Maliana,Saburai,40107,1111
Bobonaro,Maliana,Tapo/Memo,40106,4086
Covalima,Fatululic,Fatululic,50101,549
Covalima,Fatululic,Taroman,50102,1265
Covalima,Fatumean,Belulic Leten,50202,1924
Covalima,Fatumean,Fatumea,50201,758
Covalima,Fatumean,Nanu,50203,664
Covalima,Fohorem,Dato Rua,50303,893
Covalima,Fohorem,Dato Tolu,50304,1011
Covalima,Fohorem,Fohoren,50301,1468
Covalima,Fohorem,Lactos,50302,744
Covalima,Maucatar,Belecasac,50404,778
Covalima,Maucatar,Holpilat,50401,1048
Covalima,Maucatar,Matai,50403,2686
Covalima,Maucatar,Ogues,50402,1364
Covalima,Suai,Beco,50501,3313
