"L2","L3","L4","L4 KV:GADM4","Lon","Lat"
,"Abafala","Mumana",15111,126.56328,-8.56498
,"Abafala","Wabere",15112,126.57467,-8.569
,"Abani","Ato",15133,124.34222,-9.47556
,"Abani","Fauteso",15121,124.32628,-9.46093
,"Abani","Fofe",15130,124.33056,-9.46806
,"Abani","Fot",15132,124.34225,-9.4698
,"Abani","Fuames",15127,124.31346,-9.46692
,"Abani","Huaen",15116,124.33924,-9.45768
,"Abani","Hueleo",15118,124.34698,-9.45556
,"Abani","Kuef",15129,124.32361,-9.47083
,"Abani","Meta",15115,124.33643,-9.45471
,"Abani","Naituna",15117,124.34631,-9.45077
,"Abani","Nuahake",15128,124.32117,-9.46897
,"Abani","Nuakbat",15126,124.30972,-9.47361
,"Abani","Nunkolo",15124,124.34478,-9.46603
,"Abani","Oebu",15119,124.31634,-9.46424
,"Abani","Oelajaob",15114,124.34392,-9.4455
,"Abani","Oelangkai",15113,124.32083,-9.44028
,"Abani","Oelete",15120,124.32353,-9.46134
,"Abani","Passabe",15123,124.34481,-9.46294
,"Abani","Tabe",15122,124.33194,-9.46111
,"Abani","Usafin",15125,124.34585,-9.46013
,"Abani","Watu",15131,124.33358,-9.46707
,"Abat Oan","Camedar",15135,126.05766,-8.97185
,"Abat Oan","Ranac",15134,126.06049,-8.97295
,"Abo","Abomatebian",15138,126.56436,-8.64307
,"Abo","Ossomessa",15137,126.56174,-8.64524
,"Abo","Uaidora",15136,126.56389,-8.63611
,"Acadiru Hun","Belebato",15139,125.58939,-8.55424
,"Acadiru Hun","Nubadak",15140,125.58944,-8.55194
,"Acubilitoho","Asumata",15142,125.67991,-8.7227
,"Acubilitoho","Biloko",15143,125.65714,-8.74544
,"Acubilitoho","Urupadan",15141,125.66867,-8.71235
,"Acumau","Aimerahun",15144,125.66808,-8.61097
,"Acumau","Fatumanaro",15147,125.66343,-8.61869
,"Acumau","Relolisa",15146,125.6453,-8.61786
,"Acumau","Remexio",15145,125.66626,-8.61549
,"Acumau","Ulaen",15148,125.63962,-8.63478
,"Afaca","Afaca",15151,126.60062,-8.54558
,"Afaca","Boralai",15152,126.60256,-8.55183
,"Afaca","Loirae",15153,126.6131,-8.56321
,"Afaca","Muturo",15154,126.61528,-8.5625
,"Afaca","Quelicai",15149,126.5972,-8.54516
,"Afaca","Vecubuti",15150,126.59877,-8.54312
"Baguia","Afaloicai","Afaloicai",15155,126.61111,-8.65833
"Baguia","Afaloicai","Lacolu",15160,126.61962,-8.66926
"Baguia","Afaloicai","Salai",15157,126.6125,-8.65972
"Baguia","Afaloicai","Samalari",15159,126.61634,-8.66738
"Baguia","Afaloicai","Uai-Mata",15156,126.61132,-8.66637
"Baguia","Afaloicai","Ulolaco",15158,126.61528,-8.66944
"Uatucarbau","Afaloicai","Afaloicai",15163,126.67101,-8.68716
"Uatucarbau","Afaloicai","Alooli",15180,126.64028,-8.692
"Uatucarbau","Afaloicai","Bahatata",15177,126.65131,-8.64917
"Uatucarbau","Afaloicai","Betoria",15183,126.6666,-8.692
"Uatucarbau","Afaloicai","Bualale",15161,126.65808,-8.6882
"Uatucarbau","Afaloicai","Builicorae",15178,126.64724,-8.6476
"Uatucarbau","Afaloicai","Caiualita",15172,126.62822,-8.65587
"Uatucarbau","Afaloicai","Deralare",15162,126.66873,-8.68789
"Uatucarbau","Afaloicai","Lecoala",15164,126.67274,-8.68552
"Uatucarbau","Afaloicai","Liabuta",15170,126.64704,-8.66049
"Uatucarbau","Afaloicai","Locohu",15166,126.62921,-8.673
"Uatucarbau","Afaloicai","Locohu",15171,126.62713,-8.65721
"Uatucarbau","Afaloicai","Macaducarau",15182,126.65522,-8.69372
"Uatucarbau","Afaloicai","Marae",15174,126.63834,-8.65549
"Uatucarbau","Afaloicai","Nelouai",15179,126.65599,-8.64435
"Uatucarbau","Afaloicai","Ossohuna",15173,126.62778,-8.65417
"Uatucarbau","Afaloicai","Ossomali",15165,126.63243,-8.67551
"Uatucarbau","Afaloicai","Samalari",15176,126.65694,-8.65139
"Uatucarbau","Afaloicai","Tatadere",15175,126.65694,-8.65512
"Uatucarbau","Afaloicai","Tetumori",15168,126.65799,-8.66687
"Uatucarbau","Afaloicai","Uaimare",15169,126.66882,-8.66587
"Uatucarbau","Afaloicai","Uaniuma",15181,126.63801,-8.69262
"Uatucarbau","Afaloicai","Uatobita",15167,126.64815,-8.66865
"Watulari","Afaloicai","Ateuaissi",15188,126.51562,-8.68089
"Watulari","Afaloicai","Ilalein",15187,126.56998,-8.70007
"Watulari","Afaloicai","Samadare",15185,126.53607,-8.73414
"Watulari","Afaloicai","Siquilari",15184,126.52186,-8.74964
"Watulari","Afaloicai","Uatora",15186,126.54861,-8.71184
,"Ai-Assa","Aiasa",15194,125.31231,-9.04034
