Name,Organisation,Type,Country,Building,Address,Postcode,L1,L3,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
"Simmons Office","Example.co.uk","Field","Greenland","Q Skinner Building","777-939 Ac Rd.","P6 0WF","Perth","Bentonville","-80","-15","1 18 424 4777-0537","1 28 529 2862-7844","pede@liberoat.org","1 61 886 3539-5933",
"Townsend Office","Example.edu","Headquarters","Iceland","V Velazquez Building","578-4097 Posuere St.","A48 3KM","Selkirkshire","Weirton","87","65","1 18 981 8592-4716","1 17 120 1694-0368","imperdiet@aliquetnecimperdiet.org","1 97 689 4386-7584",
"Marquez Office","Example.com","Warehouse","Lesotho","U Contreras Building","289-9700 Sit St.","X5J 7D1","New York","Milford","-10","127","1 28 479 1765-9480","1 90 190 9437-6515","ipsum@ligula.ca","1 42 411 4888-7368",
"Snyder Office","Example.edu","Headquarters","Tanzania, United Republic of","U Shaw Building","Ap #454-4440 Dolor St.","P4 3LG","Washington","York","44","78","1 23 584 1117-0950","1 22 553 9172-6933","risus.In.mi@turpisnec.ca","1 68 543 6643-6497",
"Drake Office","Example.org","Warehouse","Heard Island and Mcdonald Islands","C Chambers Building","3708 Sed Ave","WY0 5KJ","Indiana","Highland Park","-15","-93","1 59 591 9948-2590","1 39 494 3847-2790","dolor@enimSed.edu","1 15 796 7815-1751",
"Mclean Office","Example.net","National","Bulgaria","Q Coffey Building","6623 Tincidunt Ave","P92 4BW","Maine","Richmond","31","-38","1 67 340 9415-6322","1 11 826 5299-2850","ligula@nequeNullamut.org","1 48 188 9305-9371",
"Anderson Office","Example.com","Regional","China","J Logan Building","P.O. Box 418, 4384 Nunc Rd.","H1M 3O4","Ontario","Chickasha","19","115","1 70 725 9551-0807","1 93 205 4007-6449","justo@cursus.com","1 86 101 1561-6513",
"Jacobs Office","Example.co.uk","Warehouse","Christmas Island","Q Rojas Building","P.O. Box 154, 258 Imperdiet Road","E2P 8H2","New Hampshire","Auburn","61","11","1 29 246 4276-0384","1 49 440 6664-9883","fames.ac@nislQuisque.com","1 64 610 1386-3157",
"Contreras Office","Example.org","Warehouse","Thailand","Z Lamb Building","925-5240 Nibh. St.","P9J 4O7","Nunavut","Morgantown","83","-152","1 15 727 2290-8938","1 32 423 9163-7498","mollis.Phasellus.libero@consectetuereuismod.edu","1 52 879 1091-8847",
"Britt Office","Example.co.vn","Field","Central African Republic","M Christensen Building","Ap #243-1105 Diam Av.","14005","Alaska","Yonkers","22","102","1 48 896 4277-4920","1 88 293 2071-0319","mauris.a@Maurisblanditenim.org","1 30 526 8445-8389",
"Byrd Office","Example.co.uk","Warehouse","Croatia","K Mccormick Building","P.O. Box 477, 7709 Dictum Ave","K2C 8VZ","Nottinghamshire","Hot Springs","-60","39","1 53 838 2543-0848","1 89 635 1668-4601","Mauris.vestibulum@liberoDonec.edu","1 99 827 1723-8087",
"Gibbs Office","Example.com","National","Indonesia","O Chambers Building","Ap #904-7624 Ornare, Av.","O5Y 7W8","Nebraska","Kenosha","38","167","1 72 863 2255-4042","1 73 915 5642-5202","convallis.ligula.Donec@condimentumDonecat.org","1 49 513 7381-8960",
"Yang Office","Example.com","National","Falkland Islands (Malvinas)","P Burke Building","466-7876 Aliquet Av.","CO8X 7SV","Pembrokeshire","Plantation","-9","159","1 27 997 2803-4017","1 49 790 3890-5742","vel@egestashendreritneque.ca","1 22 710 9002-4142",
"Velazquez Office","Example.org","National","Colombia","N Hatfield Building","425-1222 Est, Av.","D9 5FF","Alberta","Stillwater","80","-109","1 44 477 6692-8370","1 20 430 9405-6259","Donec.elementum.lorem@nequesedsem.edu","1 22 490 9691-5386",
"Beach Office","Example.co.uk","Regional","United States Minor Outlying Islands","Z Bentley Building","129 Lorem Avenue","Z23 6FO","Minnesota","Barre","-43","151","1 93 923 5256-1559","1 55 969 9936-1986","pretium.neque@milaciniamattis.org","1 61 684 1097-2532",
"Church Office","Example.net","National","Kenya","H Morrow Building","7968 Molestie Rd.","RB5 7AG","Alberta","Northampton","-18","-26","1 43 506 3888-3414","1 90 354 9507-6271","non.sollicitudin.a@porttitorerosnec.com","1 36 932 3110-5629",
"Finch Office","Example.org","National","Jordan","T Velez Building","P.O. Box 560, 8820 Mauris. Street","14925","South Yorkshire","Irvine","80","103","1 57 115 1457-8541","1 76 668 5734-0898","a.purus@Aenean.edu","1 83 398 3340-2943",
"Baird Office","Example.co.vn","National","American Samoa","J Welch Building","Ap #223-132 Parturient Rd.","X2M 4E7","Newfoundland and Labrador","Sonoma","42","-51","1 96 535 6645-5891","1 50 231 1564-6373","purus.mauris@ac.edu","1 20 646 2017-6068",
"York Office","Example.co.uk","Regional","Japan","C Cash Building","786-7460 Montes, Rd.","K1G 5V8","Nunavut","Daly City","56","136","1 17 352 4257-4640","1 91 883 3967-7432","felis@pellentesquetellus.edu","1 65 507 8336-8009",
"Riggs Office","Example.net","Regional","Svalbard and Jan Mayen","M Stephenson Building","Ap #924-1975 Dignissim Rd.","Z1K 3R2","Newfoundland and Labrador","Woonsocket","53","-120","1 69 987 5683-4361","1 16 436 3306-0298","ipsum.Donec@egetvolutpatornare.com","1 42 429 9982-4295",
"Tillman Office","Example.org","Field","Turks and Caicos Islands","E Soto Building","Ap #221-4370 Pharetra. St.","K0 3HH","Prince Edward Island","Simi Valley","39","-105","1 51 453 3681-5632","1 89 420 8601-9494","Curae.Phasellus.ornare@ligulaelit.com","1 86 830 2983-4467",
"Carney Office","Example.co.uk","Field","Sierra Leone","H Stephens Building","Ap #951-1398 Vitae Rd.","D8G 9C7","Mississippi","Grand Rapids","47","-31","1 16 787 1988-8193","1 88 541 6245-3100","augue.eu@Sedmolestie.com","1 58 926 9248-1574",
"Walls Office","Example.net","Field","Montserrat","Z Woods Building","559-1086 Metus Street","72010","South Dakota","Bandera","-17","66","1 92 204 4584-1841","1 17 719 5816-0286","ante@Suspendisseseddolor.com","1 67 572 8213-4986",
"Griffin Office","Example.org","Regional","Tajikistan","Z Austin Building","331-3060 Facilisis Rd.","56279","Peebles-shire","San Diego","-48","95","1 19 626 2464-3649","1 27 244 2014-7014","porttitor.tellus.non@posuere.com","1 31 957 1935-2001",
"Gray Office","Example.edu","National","Svalbard and Jan Mayen","R Farrell Building","P.O. Box 436, 6752 Odio Rd.","41886","East Sussex","Artesia","-21","85","1 66 339 2733-5696","1 20 180 9218-1809","dignissim.Maecenas@mi.edu","1 76 405 5798-2689",
"Warren Office","Example.net","Warehouse","Austria","C Graham Building","P.O. Box 791, 9488 Arcu. Street","51549","Rhode Island","The Dalles","50","63","1 55 545 3539-5706","1 12 497 2586-0841","Fusce.fermentum@Class.ca","1 57 593 7466-0366",
"Browning Office","Example.com","National","Australia","S Black Building","Ap #639-1178 Et Street","K7 0BK","Colorado","Seal Beach","-71","149","1 27 213 2086-0831","1 20 730 3783-7252","lectus.pede@tristique.edu","1 31 434 6323-4176",
